"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RpS27",6.33280930863847e-38,-1.03032723780552,0.308,0.501,7.93944303024004e-34
"unc-13",8.40598633004429e-38,-2.45772088908345,0.058,0.181,1.05385850619765e-33
"lncRNA:CR44754",1.72682381119811e-37,1.12270798396862,0.508,0.277,2.16491901209907e-33
"CG11791",6.24245494800781e-36,-1.25217373630765,0.226,0.402,7.8261657683174e-32
"CG43134",6.85561593531969e-36,-1.49347802580458,0.127,0.283,8.5948856981103e-32
"CaMKI",8.5686205069727e-36,0.949982080005167,0.592,0.365,1.07424795295917e-31
"CG32264",1.74332838080058e-35,0.976820564959796,0.624,0.425,2.18561079100969e-31
"h",2.3987984517719e-35,1.47340253907286,0.377,0.161,3.00737361898643e-31
"Tm1",4.79835396010472e-35,0.86932798471938,0.64,0.436,6.01569635978329e-31
"RpLP2",7.52951510069313e-35,-0.739133419942381,0.516,0.686,9.43975308173898e-31
"CG10472",1.44318356477082e-34,-1.62889120212428,0.081,0.215,1.80931923515318e-30
"HDAC4",5.41658107332768e-34,1.39356487130473,0.37,0.158,6.79076769163091e-30
"RpL14",7.53647875706199e-34,-0.937887034198528,0.359,0.537,9.44848341772861e-30
"RpS2",1.62824573036976e-33,-0.990362034277027,0.33,0.501,2.04133167216457e-29
"CG3500",1.37889576266063e-32,3.89467424543093,0.174,0.017,1.72872161764763e-28
"Mthfs",1.87991662545332e-32,2.75641978199082,0.2,0.033,2.35685147333083e-28
"Yp1",6.87463859814787e-32,-0.67659915657332,0.578,0.722,8.61873441049798e-28
"CG17571",9.77124042936222e-32,-2.16977171587227,0.028,0.113,1.22502041262914e-27
"Cp16",3.90917833875334e-31,-1.43042151955257,0.111,0.249,4.90093688329506e-27
"RpS29",1.62012104140892e-30,-1.01014735159972,0.281,0.453,2.03114574961437e-26
"yip7",2.21676292585104e-30,-0.989480606701786,0.278,0.447,2.77915568013945e-26
"RpL27A",4.43992374342481e-30,-0.721997671353847,0.499,0.644,5.56633239713169e-26
"Eip63F-1",6.93415955352726e-30,2.00672239975064,0.231,0.06,8.69335583225713e-26
"CG32647",8.01535041899225e-30,1.00438534430485,0.507,0.299,1.00488448202906e-25
"Jon65Aiv",1.08003196769209e-29,-0.878583092520027,0.31,0.484,1.35403607789557e-25
"CG3764",1.41851427701698e-29,1.6190553557687,0.295,0.109,1.77839134909618e-25
"Jon99Ciii",1.73507937614134e-29,-1.68057625286221,0.056,0.163,2.17526901386839e-25
"CG34417",4.55202335809395e-29,0.788070328300946,0.652,0.469,5.70687168404238e-25
"RpL37a",8.00992144206769e-29,-1.03707660507949,0.275,0.438,1.00420385119203e-24
"CG9005",8.36987845866125e-29,-0.645705086135392,0.644,0.769,1.04933166236236e-24
"RpS9",3.14824873042909e-28,-0.749277415428148,0.43,0.592,3.94695943333895e-24
"Thor",1.27586341774827e-27,1.49964210942381,0.576,0.448,1.59954996683101e-23
"RpL27",1.84726639476406e-27,-0.902089998043055,0.311,0.472,2.3159178791157e-23
"CG14662",4.57148033929665e-27,3.2962206755197,0.143,0.012,5.73126490137622e-23
"RpS27A",6.02378185836545e-27,-0.758100053985993,0.481,0.624,7.55201531583277e-23
"RpL7",7.0711146425692e-27,-0.877142141449644,0.321,0.482,8.865056427389e-23
"SCAP",1.92365300488173e-26,1.02184909696011,0.428,0.236,2.41168377222022e-22
"Atpalpha",2.48230279448288e-26,0.63098524618341,0.714,0.559,3.11206301344319e-22
"RpS8",3.68994341593633e-26,-0.750403011165061,0.48,0.624,4.62608206055938e-22
"Hr38",1.52662110546742e-25,-0.917926484924701,0.279,0.439,1.91392487992451e-21
"RpS15",1.54237783733422e-25,-0.757154696831651,0.392,0.553,1.93367909466591e-21
"RpL36A",1.7435067821472e-25,-0.949573570927833,0.277,0.431,2.18583445277795e-21
"MFS17",8.21930890195338e-25,0.692932321224044,0.578,0.381,1.0304547570379e-20
"sta",9.75937850349671e-25,-0.725451059477819,0.442,0.588,1.22353328298338e-20
"RpS10b",1.00451751316611e-24,-0.779559848743137,0.334,0.485,1.25936360625635e-20
"RpS16",1.21760951596067e-24,-0.779507714412467,0.392,0.539,1.52651705015989e-20
"RpL23",2.40343187151897e-24,-0.748074519019055,0.444,0.583,3.01318253732333e-20
"Hsc70Cb",2.59368000413559e-24,-1.51819994790714,0.112,0.232,3.25169662118479e-20
"RpS3",3.0247013266264e-24,-0.925530055411192,0.283,0.435,3.79206805319151e-20
"Bace",3.05630179613359e-24,-1.32265524788405,0.084,0.195,3.83168556181268e-20
"asRNA:CR44168",4.06633024646275e-24,4.27633913208876,0.126,0.01,5.09795822999034e-20
"RpS28b",5.21977331971688e-24,-1.01667658685319,0.217,0.359,6.54402981092905e-20
"sbb",5.27796918409206e-24,0.586182961643536,0.742,0.617,6.61698996609622e-20
"RpL10Ab",6.47017398825242e-24,-0.795680623559104,0.337,0.483,8.11165712907206e-20
"Yp3",1.47406073099366e-23,-0.571891056391618,0.572,0.699,1.84802993844675e-19
"Hk",2.49582691865241e-23,1.16286358870652,0.333,0.162,3.12901820791452e-19
"CG34423",3.59185280128372e-23,0.934494134372633,0.477,0.297,4.5031058569694e-19
"RpL12",6.2987748819896e-23,-0.783663252747835,0.346,0.498,7.89677406955036e-19
"RpS12",6.51272343236803e-23,-0.714362862006855,0.42,0.568,8.1650013671598e-19
"RpL37A",6.61514753660347e-23,-1.02503277779996,0.191,0.329,8.29341046663977e-19
"gish",7.34806597947153e-23,0.699281414103436,0.592,0.42,9.21227031846346e-19
"RpS20",8.8191824777174e-23,-0.732876812425831,0.345,0.491,1.10566090723143e-18
"RpL18A",9.24414056119717e-23,-0.745544642504803,0.375,0.53,1.15893790215729e-18
"RpS7",9.93002175749177e-23,-0.772719291895474,0.395,0.527,1.24492682773674e-18
"FER",1.06447037411028e-22,0.591753531208303,0.709,0.555,1.33452650802206e-18
"Tao",1.12416281766232e-22,0.754757968601089,0.525,0.339,1.40936292450326e-18
"RpS26",1.62708522811438e-22,-0.855853587573701,0.265,0.412,2.039876750487e-18
"Kua",2.12965353303264e-22,1.90759703656032,0.183,0.05,2.66994663436302e-18
"Amph",2.21493965847706e-22,0.638795076959987,0.659,0.5,2.7768698498327e-18
"tmod",2.29962223602205e-22,0.491335477326813,0.822,0.707,2.88303639730085e-18
"RpS18",2.81855902323098e-22,-0.704041876387101,0.388,0.54,3.53362744742469e-18
"mt:ATPase6",2.85924689783738e-22,-0.599309191441629,0.591,0.716,3.58463783581872e-18
"betaTry",3.01987353928046e-22,1.23945669139648,0.298,0.136,3.78601545619591e-18
"RpS11",3.78299357508935e-22,-0.809723757083777,0.39,0.523,4.74273904508952e-18
"CG7378",4.25930827563818e-22,0.671049023679758,0.637,0.477,5.33989478516759e-18
"Strn-Mlck",8.3114937670951e-22,0.640824394976777,0.686,0.547,1.04201197358071e-17
"CG7530",8.97436701944012e-22,0.822865773946881,0.465,0.289,1.12511639322721e-17
"CG31145",1.57459811738521e-21,0.579829414345367,0.683,0.521,1.97407365976584e-17
"Hsp27",1.78705358686627e-21,-1.40748753353359,0.117,0.231,2.24042908185424e-17
"bt",2.06139493909978e-21,0.264540247137522,0.999,0.999,2.5843708351494e-17
"CG33229",4.37546283225418e-21,-0.810285993206499,0.375,0.507,5.48551775279707e-17
"RpS21",4.929717424141e-21,-0.890042183473245,0.281,0.42,6.18038673464557e-17
"CG12769",7.50109321999141e-21,-1.56115355052829,0.051,0.134,9.40412056990323e-17
"rdgC",9.59955838504853e-21,2.89567666142152,0.127,0.018,1.20349663473353e-16
"RpL28",1.22248916729074e-20,-0.668961470398371,0.444,0.573,1.5326346690324e-16
"mt:CoII",1.40663248445868e-20,-0.471491135853827,0.578,0.715,1.76349514576585e-16
"Vm26Ab",1.7966422230433e-20,-0.890137264258027,0.282,0.419,2.25245035502939e-16
"mt:CoIII",2.10666544597975e-20,-0.484842837566323,0.673,0.778,2.64112646962482e-16
"CG42240",4.29684790043151e-20,1.13413448590195,0.336,0.182,5.38695821277098e-16
"Hsc70-5",1.14597910138743e-19,-1.40383269853689,0.061,0.147,1.43671399940942e-15
"Ca-Ma2d",1.25127865800267e-19,-1.35862493240089,0.065,0.154,1.56872805353794e-15
"LpR1",1.30267579480234e-19,0.924686283017193,0.382,0.224,1.63316464394369e-15
"eEF1alpha1",1.85455865825877e-19,-0.362931830949459,0.798,0.868,2.32506018985903e-15
"Svil",2.10437525764821e-19,0.445554805780668,0.848,0.751,2.63825526051356e-15
"l(1)G0289",2.84459204845266e-19,1.24197709631249,0.298,0.151,3.5662650511451e-15
"RpL35A",6.46415832543315e-19,-0.818632041205134,0.301,0.423,8.10411529259554e-15
"RpL21",1.54789458352841e-18,-0.651183891513398,0.38,0.512,1.94059543936957e-14
"l(2)01289",2.00275121304181e-18,0.510359508005672,0.742,0.626,2.51084919579052e-14
"Cp18",2.44777558451732e-18,-0.885108680268026,0.158,0.275,3.06877625030937e-14
"TpnC4",3.04362375616076e-18,1.13753738077547,0.31,0.161,3.81579110309875e-14
"lncRNA:CR31781",3.77463223085203e-18,0.525586429805721,0.705,0.569,4.7322564278192e-14
"CG5399",4.23855491775732e-18,1.14437797693137,0.248,0.11,5.31387630039235e-14
"CG4461",9.15999913301276e-18,-1.04767830308504,0.104,0.204,1.14838909130581e-13
"Plp",1.57427574246277e-17,-0.55873489017476,0.361,0.5,1.97366949832557e-13
"RpL34b",1.64932206731574e-17,-0.772196128155282,0.301,0.42,2.06775507579375e-13
"RpS4",2.15814779530353e-17,-0.63292094029978,0.423,0.543,2.70566989097203e-13
"Pcf11",2.84304281597968e-17,-0.550409609875842,0.524,0.633,3.56432277839373e-13
"fok",4.60324538827209e-17,1.62841636921484,0.173,0.06,5.77108874327672e-13
"RpL18",6.87775836949613e-17,-0.722125203148024,0.302,0.426,8.6226456678373e-13
"jim",7.46734890257812e-17,0.623557888063669,0.524,0.374,9.36181531916218e-13
"HmgD",7.79220327790726e-17,-1.03283995761829,0.125,0.227,9.76908524951233e-13
"toc",9.98692323887900e-17,1.09745429822466,0.279,0.145,1.25206056645826e-12
"CG32425",1.11985264046255e-16,-0.872650246921571,0.162,0.276,1.4039592553479e-12
"fabp",1.27795637377417e-16,-1.17593562030765,0.082,0.17,1.60217390580068e-12
"RpLP0",1.34242924678765e-16,-0.717038322222388,0.313,0.438,1.68300354669767e-12
"RpL36",1.59899378867026e-16,-0.620501034966671,0.357,0.487,2.00465851285591e-12
"Sobp",3.14151916434991e-16,1.29443979334607,0.214,0.095,3.93852257634549e-12
"sesB",4.11285268751633e-16,-0.619982105454108,0.382,0.505,5.15628341433923e-12
"Cln3",4.29552014113019e-16,0.712684346947443,0.457,0.301,5.38529360093492e-12
"CG13323",8.81949500206117e-16,1.65821962982318,0.148,0.046,1.10570008840841e-11
"RpL32",1.2163111791521e-15,-0.588323700954547,0.423,0.545,1.52488932530298e-11
"CanA-14F",1.31082850996936e-15,1.077515808829,0.25,0.125,1.64338570294859e-11
"Shrm",1.47046118057422e-15,1.67448189480803,0.146,0.046,1.8435171820859e-11
"alphaTry",1.5597818656477e-15,-0.665722291644831,0.304,0.421,1.95549852496252e-11
"RpL7A",1.57450084707254e-15,-0.671486245282185,0.367,0.477,1.97395171197484e-11
"RpS25",1.75011534962812e-15,-0.582049763628775,0.445,0.557,2.19411961382877e-11
"PRL-1",1.79961564305591e-15,-0.962421356621065,0.192,0.298,2.25617813169919e-11
"RpS14a",2.17230215895771e-15,-0.999453635147412,0.192,0.293,2.72341521668528e-11
"pHCl-1",2.44414919204182e-15,0.460802138134235,0.84,0.793,3.06422984206283e-11
"flw",2.91289245997683e-15,0.933080410802811,0.309,0.177,3.65189327707295e-11
"scyl",4.05810172141788e-15,1.07919825720377,0.353,0.221,5.0876421281416e-11
"CG42390",4.1358717538556e-15,1.14127745945949,0.226,0.107,5.18514241780876e-11
"RpS15Aa",5.78341748280743e-15,-0.745577660433491,0.218,0.331,7.25067049819567e-11
"CG32982",6.85479538947939e-15,0.677782807836429,0.465,0.33,8.5938569797903e-11
"CG4080",8.37629217176051e-15,-0.964410413582138,0.156,0.256,1.05013574957362e-10
"CG33521",9.45633897274318e-15,0.838397690959944,0.36,0.225,1.18554121701281e-10
"RpL8",9.51413694865823e-15,-0.533481171948845,0.418,0.537,1.19278734925328e-10
"RpL26",9.73708485803052e-15,-0.634488423999547,0.412,0.521,1.22073832865129e-10
"CG2003",2.72723679043608e-14,0.827405392291862,0.274,0.149,3.41913676416972e-10
"RpL31",2.86133681664781e-14,-0.681499744755251,0.328,0.441,3.58725796703136e-10
"CG45080",3.18941767881289e-14,-0.689407180865221,0.283,0.395,3.99857294392772e-10
"RpS23",3.35616938375309e-14,-0.558454459746792,0.407,0.522,4.20762955641125e-10
"CG14645",3.51923472105165e-14,0.588973557116818,0.394,0.245,4.41206456978245e-10
"RpL39",5.84016556027468e-14,-0.685536130265665,0.309,0.416,7.32181556291636e-10
"RpS6",1.10038593628023e-13,-0.645012711436596,0.304,0.413,1.37955384831452e-09
"up",1.10740438246944e-13,0.366802621623693,0.847,0.811,1.38835287430194e-09
"Nna1",1.11558423541596e-13,1.20464340258712,0.194,0.089,1.39860795594099e-09
"clumsy",1.31289470816555e-13,-0.676030380568549,0.298,0.402,1.64597609562715e-09
"l(1)G0196",1.43241383678339e-13,0.825130869916368,0.272,0.151,1.79581722717533e-09
"RpL13A",1.44059543181807e-13,-0.505558505731442,0.442,0.542,1.80607449287031e-09
"Ran",1.527951333808e-13,-1.02194301013587,0.116,0.203,1.91559258719509e-09
"RpL23A",1.68978179339918e-13,-0.643922915567157,0.329,0.434,2.11847943438455e-09
"CG32121",1.76639568087772e-13,0.590424168566613,0.514,0.382,2.2145302651164e-09
"RpS17",1.78993045797586e-13,-0.676168922839635,0.325,0.425,2.24403581516433e-09
"RpL19",2.07408976749459e-13,-0.563457067268338,0.453,0.548,2.60028634150797e-09
"lcs",2.09395116410755e-13,-0.813272994635819,0.224,0.327,2.62518657444164e-09
"ATP8B",2.63578546655732e-13,0.881755537289441,0.236,0.121,3.30448423942291e-09
"RpL35",3.13189129416416e-13,-0.657823650438907,0.275,0.38,3.92645211549361e-09
"RpL38",3.20968608786387e-13,-0.862712729987762,0.175,0.273,4.02398344835494e-09
"RpS3A",3.44522314634777e-13,-0.592878116257468,0.38,0.48,4.3192762585762e-09
"mew",6.20935881551148e-13,1.05717740020458,0.197,0.092,7.78467314700674e-09
"CG46385",6.33968975211789e-13,0.258319845186249,0.946,0.9,7.9480690422302e-09
"CG33170",6.86705319552956e-13,-0.877542730797395,0.139,0.229,8.60922459123541e-09
"lncRNA:CR45054",6.87320308125511e-13,-0.316601024612753,0.827,0.879,8.61693470296953e-09
"RpL6",7.47252976463293e-13,-0.546331637001562,0.441,0.535,9.36831056592031e-09
"Pits",8.0812503304208e-13,-0.946943297684337,0.111,0.197,1.01314635392486e-08
"norpA",8.51885288264597e-13,0.91099616628358,0.234,0.122,1.06800858589733e-08
"htl",9.7275187236415e-13,-1.21594854937144,0.056,0.12,1.21953902238294e-08
"nrv2",1.10489943065846e-12,1.440865764015,0.142,0.053,1.38521241621651e-08
"Ank2",1.19864620210758e-12,0.975144683791356,0.241,0.129,1.50274274358228e-08
"Syt7",1.85739998253518e-12,1.32830477544205,0.149,0.06,2.32862235810436e-08
"cic",2.72389179882226e-12,-0.527656308440331,0.37,0.469,3.41494314818346e-08
"awd",3.41781034068935e-12,-0.727968968446342,0.246,0.345,4.28490882412224e-08
"RpL13",4.00838787785478e-12,-0.632996166686246,0.376,0.467,5.02531588246653e-08
"CG44422",5.13637301510026e-12,0.932899240211071,0.255,0.145,6.43947084903119e-08
"cype",9.10448206818573e-12,-0.591820580151627,0.273,0.376,1.14142891688845e-07
"CG16779",9.33651622798169e-12,0.887373474806481,0.266,0.158,1.17051903950206e-07
"Sh",1.02072730314027e-11,0.912904621942494,0.287,0.177,1.27968581994696e-07
"Rim2",1.02475872778531e-11,0.673129454264131,0.326,0.204,1.28474001702444e-07
"Pdp1",1.04433636858284e-11,0.28784343620724,0.887,0.835,1.30928450529231e-07
"Ephrin",1.42181718962715e-11,-0.838838858199922,0.164,0.251,1.78253221063555e-07
"RpL40",1.47701301104583e-11,-0.737915467788233,0.216,0.308,1.85173121194815e-07
"Thd1",1.93575374428219e-11,-0.491230782379738,0.417,0.51,2.42685446920658e-07
"Rack1",2.05469339845101e-11,-0.659956673574224,0.253,0.349,2.57596911363803e-07
"RpS13",2.13511801734254e-11,-0.586046013124064,0.311,0.409,2.67679745834234e-07
"Fer1HCH",2.20002605766634e-11,-0.817544159674011,0.339,0.43,2.75817266849629e-07
"foxo",2.68108125856863e-11,0.610381049882192,0.381,0.262,3.3612715738675e-07
"Ca-beta",2.91981574106161e-11,0.600117541379581,0.384,0.26,3.66057299456895e-07
"wupA",3.1539322489091e-11,0.567794084880298,0.476,0.35,3.95408486045733e-07
"IscU",3.30229025922549e-11,-0.668276662284433,0.279,0.368,4.14008129799099e-07
"CG45050",3.80053229264939e-11,-0.304096660813803,0.836,0.883,4.76472733529454e-07
"lncRNA:CR43334",3.86679453826296e-11,0.451851876773691,0.586,0.455,4.84780031262027e-07
"myo",4.1107952054215e-11,-0.577091995133197,0.373,0.467,5.15370394903693e-07
"mt:Cyt-b",5.54425548498769e-11,-0.457450134991772,0.462,0.564,6.95083310152907e-07
"salm",6.12925051002598e-11,0.526480689314663,0.616,0.514,7.68424136441957e-07
"Npl4",6.37298567620112e-11,-0.592002743858152,0.364,0.455,7.98981214225334e-07
"CG17514",6.49763806863805e-11,-0.479549561727122,0.5,0.583,8.14608884665153e-07
"SNF4Agamma",1.04145538314159e-10,0.325325145482969,0.853,0.784,1.30567261384462e-06
"lncRNA:CR44831",1.10350200043675e-10,1.05002072323574,0.177,0.089,1.38346045794755e-06
"nuf",1.14193809184229e-10,0.340517857209106,0.684,0.561,1.43164778574268e-06
"RpL17",1.53766288122911e-10,-0.527545853018028,0.443,0.528,1.92776795419694e-06
"eEF5",2.11004736869995e-10,-0.743398943857177,0.206,0.294,2.64536638613913e-06
"CG18135",2.14591576163601e-10,0.51035487616922,0.545,0.431,2.69033459036306e-06
"l(3)05822",2.54566052013019e-10,-0.678281393454116,0.194,0.281,3.19149459408722e-06
"RpL24",2.55834506249684e-10,-0.564411284706873,0.413,0.499,3.20739720485229e-06
"Sin3A",3.07977109771266e-10,-0.688494509370093,0.231,0.318,3.86110902520237e-06
"Pka-R1",3.71687513827509e-10,1.10629330803027,0.154,0.073,4.65984636085547e-06
"fru",5.88861188973568e-10,0.783731882432967,0.187,0.099,7.38255272616162e-06
"Nak",7.01357602106108e-10,1.06939562903581,0.163,0.081,8.79292025760427e-06
"Chchd2",8.1748126616769e-10,-0.260562029203032,0.422,0.53,1.02487626339443e-05
"mnb",1.25985368575345e-09,1.02110849571358,0.154,0.075,1.57947856582911e-05
"CG10311",1.27398434873297e-09,0.768493175944113,0.257,0.162,1.59719417800653e-05
"dhd",1.2903645143499e-09,-0.604387051229918,0.222,0.311,1.61772999164047e-05
"Atet",1.3931740811046e-09,-0.669523438100224,0.178,0.261,1.74662234548084e-05
"Cals",1.39720532543933e-09,-0.590719823574704,0.257,0.344,1.75167631650329e-05
"Cyt-c-p",1.63748698769486e-09,-0.582713826964604,0.269,0.357,2.05291743647304e-05
"Mef2",1.66434028393249e-09,0.317265448319987,0.598,0.473,2.08658341396616e-05
"mub",1.76328402583743e-09,0.419670352984051,0.591,0.488,2.21062918319238e-05
"Sh3beta",1.77314953369639e-09,0.535643478433594,0.377,0.268,2.22299757039516e-05
"LUBEL",3.32481499089233e-09,1.08994427228783,0.128,0.057,4.16832055408171e-05
"CG44085",3.90478416227044e-09,0.74574395646159,0.196,0.11,4.89542790423845e-05
"CG41378",3.92371729738158e-09,0.635630125362191,0.414,0.311,4.91916437572729e-05
"sgg",4.28445735720973e-09,0.286222628990513,0.821,0.767,5.37142418873384e-05
"Asator",4.28938845955204e-09,0.294834749561734,0.743,0.657,5.37760631174039e-05
"RpL5",4.33737682314509e-09,-0.414508460675603,0.428,0.514,5.437769323177e-05
"Cp110",4.51984353982829e-09,0.800194880999135,0.194,0.11,5.66652784588273e-05
"hfp",4.75466728283304e-09,0.473596753585062,0.389,0.273,5.96092637248778e-05
"RpL30",5.66087080223915e-09,-1.01695579819422,0.088,0.149,7.09703372476722e-05
"Ald1",6.02905300132726e-09,0.277958891093295,0.805,0.741,7.55862374776398e-05
"Miro",6.11549921666735e-09,0.703255106716915,0.215,0.126,7.66700136793586e-05
"Frq2",7.06406845971126e-09,0.30919935516663,0.631,0.513,8.85622262794001e-05
"RpS24",7.0752472939102e-09,-0.789702361510425,0.217,0.293,8.87023753237522e-05
"tun",8.23704612363786e-09,0.804224221513163,0.209,0.125,0.000103267847252048
"RyR",8.98188438757274e-09,0.449423622341956,0.43,0.324,0.000112605884566999
"MESR6",9.6222184320047e-09,0.899979058795004,0.169,0.09,0.000120633752482043
"Trf4-1",9.70484987869513e-09,-0.844375681262176,0.11,0.177,0.000121669702929201
"Nacalpha",9.72868944316698e-09,-0.708986271141082,0.172,0.248,0.000121968579548984
"lost",1.01632863287772e-08,-0.746139782835821,0.159,0.233,0.00012741712070388
"CG9775",1.06450951737912e-08,-0.950777426821982,0.086,0.144,0.00013345755819382
"Vm32E",1.07162558393723e-08,-0.935493045341137,0.092,0.152,0.00013434969945821
"RpS5b",1.1331100552067e-08,-0.741185785979325,0.106,0.174,0.000142058007621264
"crp",1.15690870154624e-08,-0.410517298724597,0.39,0.47,0.000145041643912852
"whe",1.165868243329e-08,-0.616965086857503,0.231,0.313,0.000146164901666157
"Tctp",1.27181187794224e-08,-0.807331356832003,0.163,0.234,0.000159447055137618
"Cln7",1.35224449072915e-08,-0.934927932854644,0.101,0.164,0.000169530891802714
"Pih1D1",1.44426119455521e-08,0.949172225058187,0.128,0.059,0.000181067025961387
"sog",1.47507864143042e-08,0.7373084813133,0.308,0.215,0.000184930609276132
"CG10383",1.53969061527333e-08,1.23343199023678,0.262,0.18,0.000193031012436818
"vg",2.24370804810525e-08,0.453211387144496,0.402,0.292,0.000281293677990956
"mamo",2.26060531745594e-08,0.283720717936686,0.848,0.815,0.000283412088649451
"Hr39",2.28202295004372e-08,-0.701074623707046,0.134,0.203,0.000286097217246981
"hdc",2.35497495597324e-08,0.811564952613814,0.183,0.105,0.000295243210230365
"Dad",2.39928692375971e-08,-0.958135140239467,0.115,0.179,0.000300798601631754
"CG2852",3.81854413583213e-08,-0.887516650992018,0.129,0.193,0.000478730878309275
"Xbp1",5.55164787975416e-08,-0.701468760769987,0.152,0.221,0.000696010094684779
"pum",7.32856307364506e-08,-0.463269371241482,0.554,0.611,0.000918781952542882
"Smg5",8.86939102043447e-08,-0.828394311012581,0.082,0.137,0.00111195555223187
"Rdh",9.62232284874209e-08,-0.787435237703078,0.123,0.186,0.0012063506155468
"CG3198",9.67515979097925e-08,0.307470093933421,0.769,0.691,0.00121297478299507
"CG18067",9.69020316019079e-08,1.21367294921,0.176,0.105,0.00121486077019312
"Alas",9.88920170258589e-08,-0.608903260182974,0.19,0.262,0.00123980921745319
"CG12535",1.15950718886925e-07,1.09910884830395,0.121,0.059,0.00145367416268538
"wgn",1.2742313647222e-07,0.841571473361413,0.128,0.065,0.00159750386195223
"CG31038",1.48307254801601e-07,0.714206435449644,0.221,0.141,0.00185932805344768
"CG5171",1.48973755173014e-07,0.959510761352305,0.136,0.072,0.00186768396860407
"mura",1.5018910954131e-07,0.514451201309892,0.33,0.237,0.0018829208663194
"Rab11",1.57541652247336e-07,0.687179252977988,0.226,0.145,0.00197509969422485
"Cks85A",1.77991329858213e-07,1.04345390671603,0.126,0.064,0.00223147730243241
"HnRNP-K",1.79574798000895e-07,0.984980991922432,0.136,0.072,0.00225132924253722
"jp",2.37518878791173e-07,0.651261649840225,0.234,0.154,0.00297777418340493
"Asph",2.44217981432152e-07,-0.315288038504792,0.484,0.553,0.00306176083321489
"sbr",2.44536895227284e-07,0.4670588052363,0.379,0.285,0.00306575905546446
"CG14655",2.51208233973508e-07,0.981476885722802,0.131,0.068,0.00314939762932588
"CG10365",2.8190933421878e-07,0.385078006997185,0.719,0.682,0.00353429732310084
"simj",2.9316556844884e-07,-0.409345254919724,0.488,0.555,0.0036754167316431
"IM4",3.07643292146177e-07,1.1094681445518,0.103,0.047,0.00385692395363663
"dsx",3.6617426746813e-07,0.439328452075132,0.407,0.315,0.00459072679124794
"Atf3",3.82579162718442e-07,0.756791038319045,0.175,0.105,0.00479639496300111
"CG7766",3.88943764068264e-07,0.34409298500858,0.564,0.471,0.00487618797012383
"RpS19a",4.16080296273004e-07,-0.521641347043563,0.293,0.366,0.00521639867437465
"PNUTS",4.50342284104343e-07,-0.250805707043147,0.623,0.694,0.00564594121581615
"Cyp1",4.5246689914466e-07,-0.67466120187159,0.23,0.293,0.00567257751457661
"CG6231",4.72197160941529e-07,0.542324459575278,0.282,0.199,0.00591993580672395
"NijA",5.2727084673894e-07,0.983979363859599,0.114,0.057,0.0066103946055661
"4E-T",5.67077924939399e-07,-0.605593909673418,0.151,0.215,0.00710945594496525
"RtGEF",5.878129050151e-07,0.720691108811129,0.206,0.133,0.00736941039017431
"RpL10",6.29423198781167e-07,-0.373806606049644,0.402,0.47,0.0078910786431195
"Tob",6.57556757038649e-07,-0.558516567751474,0.38,0.441,0.00824378906299354
"ttk",6.77973677817381e-07,0.767163005438269,0.135,0.073,0.0084997559987965
"Pepck2",6.94979482845214e-07,1.0563564230294,0.107,0.052,0.00871295777643044
"CG9034",7.62449478595819e-07,-0.932026008066642,0.069,0.115,0.00955882911315578
"Pde8",7.81093029190703e-07,0.418925276388834,0.404,0.312,0.00979256330696385
"jing",8.91612828569445e-07,0.444665946800606,0.467,0.38,0.0111781500317751
"AGO1",9.12586040018843e-07,-0.581701206909948,0.203,0.27,0.0114410911837162
"Cul1",1.05280261502418e-06,1.06524770469708,0.106,0.052,0.0131989863845582
"CG32085",1.06500560204427e-06,0.677094501285683,0.169,0.1,0.013351975232829
"Arc1",1.07599190780377e-06,1.45316680231029,0.107,0.053,0.0134897105481359
"lncRNA:CR43650",1.09858819188811e-06,0.930767344595185,0.133,0.074,0.0137730001617012
"Tpi",1.14390192278234e-06,0.658056427740476,0.183,0.113,0.0143410984059222
"CG32486",1.2498113623025e-06,-0.375005638271811,0.479,0.537,0.0156688850491864
"CycG",1.45906736836613e-06,0.333897281805016,0.497,0.406,0.0182923275972061
"RpL11",1.5261953231632e-06,-0.432028791771052,0.356,0.424,0.019133910766497
"lncRNA:CR44999",1.54028639617032e-06,0.581468276412899,0.211,0.137,0.0193105705487874
"CG32809",1.59229477300595e-06,0.668246156078935,0.161,0.096,0.0199625995691757
"Mpcp2",1.80271392340525e-06,-0.685990605882352,0.145,0.203,0.0226006244577316
"Nost",1.95998294159531e-06,0.801163158304073,0.247,0.176,0.0245723061387803
"CG4991",1.98227471602843e-06,0.584775896742985,0.218,0.143,0.0248517781148484
"par-1",2.02580458244713e-06,0.315983382037228,0.464,0.364,0.0253975120501397
"prage",2.04845622140489e-06,-0.356700839814688,0.478,0.538,0.0256814956477531
"RpL3",2.06498007634898e-06,-0.3553388207332,0.426,0.49,0.0258886552171872
"gw",2.15679341141741e-06,-0.25673843847052,0.689,0.737,0.0270397189989401
"lap",2.16050120546556e-06,0.523093848050475,0.277,0.196,0.0270862036129218
"Bx",2.25409517863822e-06,0.526110961537019,0.231,0.157,0.0282595912545873
"pdgy",2.32660634069761e-06,0.640851902370532,0.197,0.127,0.0291686636933259
"puc",2.34470081112774e-06,-0.617180028816611,0.238,0.301,0.0293955140691084
"CG16791",2.42115764212699e-06,0.54888023251625,0.247,0.171,0.030354053359346
