"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"wts",0.000525300447594035,0.452829895834619,0.12,0.079,1
"Rac2",0.000552142014175002,-0.694271686870208,0.098,0.135,1
"pAbp",0.000576402422237652,-0.391075728967109,0.285,0.328,1
"CG6051",0.000591894852315375,-0.569095618704059,0.088,0.124,1
"ftz-f1",0.000598543971261078,0.549972855466681,0.123,0.081,1
"Doa",0.000603517586739044,-0.259997562567331,0.703,0.711,1
"Cirl",0.000661488369677229,0.496771494675834,0.104,0.066,1
"Actn",0.000666412852679214,0.356584483024812,0.307,0.246,1
"FoxK",0.000667090090640887,0.680468742515481,0.109,0.07,1
"sky",0.000673566368081768,-0.340116688685588,0.456,0.488,1
"crc",0.000729844546574719,0.643538218282213,0.118,0.079,1
"Smr",0.000738522627951576,-0.327850660402285,0.353,0.4,1
"Kcmf1",0.000763013098778419,0.397676562567796,0.197,0.144,1
"lncRNA:roX1",0.000856468803784289,0.383856236302002,0.243,0.191,1
"tsr",0.000868875038230659,-0.432629505576274,0.178,0.221,1
"osp",0.000885221267906395,0.481238350375514,0.135,0.094,1
"dikar",0.000897373957590379,-0.492794813110967,0.115,0.152,1
"wdb",0.000908217220668951,-0.252536884779141,0.372,0.417,1
"Men-b",0.000913058445965839,-0.61714477869611,0.097,0.132,1
"CG4887",0.000924552815287518,0.438548319679022,0.131,0.089,1
"eIF1",0.000934608810267662,-0.761205500960811,0.07,0.1,1
"CG34172",0.000983013522716381,-0.441933851759551,0.172,0.214,1
"Gapvd1",0.00100354205126473,-0.612703780548435,0.08,0.112,1
"su(sable)",0.00101642387501019,0.407467064697665,0.118,0.079,1
"Pebp1",0.001026008297442,0.596764498534537,0.131,0.091,1
"Kdm4B",0.00108545856153525,0.347938387590209,0.177,0.128,1
"Fs(2)Ket",0.0011027318323882,0.310292683940455,0.183,0.132,1
"Hsc70-1",0.00112682453101838,-0.466608039552469,0.139,0.178,1
"CG11267",0.00112986093430437,-0.504865378198393,0.111,0.148,1
"vsg",0.00119415804186616,0.512803745335658,0.107,0.07,1
"CG31999",0.00123255430972422,0.269883513384525,0.375,0.307,1
"CG42337",0.00129250810273308,0.518785462315491,0.281,0.229,1
"Argk",0.00132504709763787,0.471235061942801,0.194,0.148,1
"CG13868",0.00133197455017946,0.492112773635705,0.176,0.13,1
"VhaSFD",0.00148412269340877,0.335458681007088,0.192,0.142,1
"bnl",0.0015920780137916,0.526762511833005,0.127,0.088,1
"msn",0.00170716739490556,0.333908645209106,0.235,0.182,1
"CG7630",0.00180414689510728,-0.328499607891548,0.332,0.372,1
"Map205",0.00189408966892774,0.336924586223866,0.197,0.15,1
"Tak1",0.00190429380257983,-0.611400013374636,0.109,0.142,1
"tou",0.00202344796800819,0.55303717343423,0.132,0.095,1
"RpL34a",0.00202900721979781,-0.630719262192782,0.102,0.134,1
"rudhira",0.00205475045111785,-0.28801294138592,0.394,0.431,1
"luna",0.00209407514623806,0.404749788627219,0.149,0.107,1
"Vha44",0.00210864061256186,0.280709038432777,0.416,0.35,1
"CG11050",0.00224897279791493,-0.513272609608505,0.12,0.155,1
"mt:ND1",0.0023419183505017,-0.370922380711613,0.204,0.244,1
"Vha100-2",0.00237743928476739,0.35998276046838,0.16,0.117,1
"CG13315",0.00242555101078405,-0.497938142946496,0.102,0.135,1
"RpS14b",0.00257145603116996,-0.522645565544702,0.093,0.126,1
"dom",0.00261918467077136,-0.44698007420179,0.125,0.159,1
"CG33181",0.00291887613907637,0.628665724080099,0.116,0.082,1
"eEF1gamma",0.00301385804221425,-0.479075719745163,0.15,0.185,1
"Gyg",0.00307679781380218,0.323788398493728,0.242,0.192,1
"lncRNA:CR46194",0.00308713561200724,0.339732875012894,0.24,0.193,1
"CG10948",0.00311128313615409,0.396933995963326,0.164,0.122,1
"Hrb98DE",0.00321645715350667,-0.429146837685632,0.121,0.155,1
"RpS5a",0.00325384259787765,-0.318602431606926,0.227,0.264,1
"Maf1",0.00329631320503536,0.26651180881472,0.252,0.201,1
"gpp",0.00341692011377185,-0.255625963102725,0.429,0.461,1
"lncRNA:CR43651",0.00347029686393349,-0.624361627006742,0.08,0.109,1
"CG43102",0.00360484159671259,0.307445848441701,0.255,0.202,1
"Cam",0.00361581843560094,0.354728116309166,0.281,0.233,1
"tna",0.00382739463111092,0.300428184262944,0.264,0.215,1
"ZAP3",0.0038921680395879,0.509414501414762,0.126,0.091,1
"osa",0.00392047200708454,0.289939266641647,0.29,0.237,1
"ND-13B",0.00415119867729856,-0.620312061825285,0.088,0.117,1
"asRNA:CR45479",0.00417276680077148,0.373535731625861,0.12,0.085,1
"Tnpo",0.00419935640791176,0.322807934510133,0.153,0.114,1
"PyK",0.0042157391450537,-0.491285107956345,0.136,0.17,1
"hdly",0.0043827627399242,0.414981156163404,0.136,0.099,1
"fry",0.0044791910964923,-0.301141764701844,0.222,0.261,1
"CG7139",0.00454140065597634,-0.506810336961782,0.114,0.145,1
"Efa6",0.00462677709362495,0.4723798222809,0.188,0.148,1
"mgl",0.00467179805168496,-0.538423319790098,0.091,0.12,1
"Eph",0.00470683249717113,-0.583141372810072,0.104,0.134,1
"Fum1",0.00479144984643421,0.276854214499565,0.282,0.231,1
"nonA",0.00494098942672603,0.377878430651148,0.18,0.139,1
"mt:ND5",0.00498937963267596,-0.436380625845549,0.176,0.209,1
"Nf1",0.00517307835416239,-0.485391683593258,0.11,0.14,1
"ATPsynG",0.00533815830142727,-0.355048258260103,0.27,0.303,1
"RpL29",0.00557112434247078,-0.339959210143254,0.269,0.307,1
"Samuel",0.00576277186048694,0.328265902455094,0.229,0.187,1
"CG10915",0.00590936476941068,0.269103781651628,0.179,0.136,1
"CG17691",0.00598182449426397,-0.448999448600711,0.153,0.185,1
"Slip1",0.00638399358846079,0.35365039924151,0.171,0.13,1
"Atg17",0.00641016934098724,-0.423028405451893,0.171,0.206,1
"cue",0.00670689214060185,-0.563451019273083,0.077,0.103,1
"Act57B",0.00672827968515778,0.566970789500283,0.111,0.08,1
"Tango5",0.00697157276329182,-0.457984687320803,0.076,0.102,1
"ras",0.00698011918908911,-0.450650284956648,0.122,0.152,1
"ics",0.00705709646763915,0.466352963192216,0.105,0.075,1
"Chc",0.00717593495401992,-0.389732158826356,0.177,0.21,1
"eEF1beta",0.00772575990640489,-0.320056995305798,0.229,0.264,1
"Crtc",0.00774501532447602,0.35164364983573,0.156,0.119,1
"roh",0.00783629050643731,-0.252296159515973,0.335,0.371,1
"Lsd-2",0.00819276784919407,-0.359820381747271,0.132,0.165,1
"LRP1",0.00837015259465312,-0.421442673203261,0.129,0.159,1
"Rbp1",0.00862955116432534,-0.482052077951006,0.094,0.121,1
"Dys",0.00893594244870228,0.310949347199288,0.145,0.11,1
"Cnot4",0.00896891060402196,0.251192421493446,0.21,0.165,1
"Treh",0.00931581573159627,0.546000996382289,0.163,0.129,1
"scrib",0.00956620776963541,0.309822269879712,0.231,0.186,1
"bic",0.00979870895145996,-0.297852874694912,0.16,0.194,1
"CG14073",0.00991276734060505,0.257111267026747,0.317,0.27,1
"CG5953",0.0110391619438446,0.414934910141271,0.239,0.2,1
"CG31224",0.0112626639650752,0.327115385127996,0.105,0.075,1
"eIF4A",0.0112631059061582,-0.354898510731152,0.22,0.251,1
"eEF2",0.0114830987857122,-0.258118609773657,0.373,0.401,1
"UQCR-14",0.0120365870435504,-0.317258706736108,0.266,0.293,1
"levy",0.0124577335444634,-0.327940065100327,0.311,0.336,1
"Mlc2",0.0132802822804162,0.357358652122887,0.261,0.222,1
"Ptp99A",0.0133765260536072,0.297845857915482,0.124,0.092,1
"Rho1",0.0136133076341129,0.351063198511388,0.107,0.079,1
"Zdhhc8",0.0136984162094468,0.312676146039107,0.228,0.189,1
"sina",0.013963475071663,0.316958063547679,0.107,0.079,1
"CG16826",0.0142382169577346,-0.406821562004322,0.187,0.214,1
"cdc14",0.015269259741214,-0.341277342195447,0.139,0.167,1
"UQCR-11",0.0153634970827238,-0.281134025266121,0.298,0.324,1
"Scp1",0.0169626955753826,0.600139766057982,0.122,0.095,1
"Srpk79D",0.0171888937510818,0.318307908065766,0.169,0.135,1
"hrm",0.0181216683539501,-0.364947879145375,0.143,0.171,1
"mod(mdg4)",0.0186037129971376,0.273881378483334,0.148,0.117,1
"Ptpmeg2",0.0189609893757133,-0.25341986031304,0.366,0.393,1
"Tomosyn",0.0193106522966702,0.279154466555117,0.197,0.162,1
"CG8475",0.0198344737029582,-0.350581192579839,0.194,0.222,1
"Fas2",0.0199377735310646,0.318704046995635,0.103,0.076,1
"Opa1",0.0204025592392136,0.298729594826372,0.12,0.091,1
"bel",0.0206087250894422,-0.36811852046764,0.169,0.197,1
"Mpcp1",0.021930097690017,-0.410622563051932,0.162,0.187,1
"CG30440",0.0221753126276307,0.271928840478198,0.216,0.182,1
"Gpat4",0.0224198980609633,0.339723390824847,0.122,0.094,1
"Moca-cyp",0.0233552395965322,0.356735653704531,0.162,0.13,1
"nej",0.0233572640956465,-0.270396826228207,0.249,0.278,1
"Lis-1",0.0234439968369948,-0.361309830640909,0.15,0.176,1
"HmgZ",0.0242523797758387,-0.381116180045908,0.122,0.148,1
"Dhc64C",0.0244834687791438,0.295537618595803,0.121,0.092,1
"meso18E",0.0252581802922629,0.35448424935154,0.14,0.111,1
"Paip2",0.0269984270896814,0.251581167038495,0.498,0.46,1
"CG10082",0.028643137472557,-0.284835187405871,0.218,0.244,1
"conu",0.028879601395971,0.347649816182392,0.122,0.095,1
"csw",0.0364140703896266,0.274014951363421,0.119,0.094,1
"app",0.0368210856602703,0.406318969813571,0.115,0.09,1
"Gpo1",0.0369578919664003,-0.274467415373035,0.214,0.24,1
"nmo",0.0373651860983955,-0.392627602106487,0.122,0.144,1
"RpL22",0.0374637734139065,-0.433669770448793,0.097,0.118,1
"Nadsyn",0.0375469302878699,0.270234386905704,0.123,0.096,1
"corto",0.0375843451637251,-0.31559014856696,0.103,0.126,1
"poe",0.0384295341392083,-0.444373261335148,0.134,0.156,1
"Acbp2",0.0391527956790225,0.35050839115799,0.112,0.087,1
"Acbp5",0.039860922057716,0.261866320848198,0.154,0.126,1
"trio",0.0399337680535835,-0.318051175587045,0.187,0.212,1
"UbcE2H",0.0404673486383916,0.338920830101142,0.143,0.117,1
"CG31759",0.0443653792744583,0.330829114289534,0.152,0.125,1
"CG17508",0.0451681294486982,-0.303362658189269,0.252,0.273,1
"CG15098",0.0452897131738167,0.271445865944178,0.121,0.096,1
"PlexA",0.0481827988728426,-0.355769650807396,0.205,0.225,1
"Jafrac1",0.0485296583919666,-0.3725714043416,0.135,0.156,1
"CG44774",0.0489116815062203,-0.380482363141562,0.109,0.129,1
"UBL3",0.048999026092646,-0.311610020832806,0.133,0.155,1
"Vinc",0.0496956297413572,0.475852773978391,0.102,0.081,1
"CG9705",0.0502774751432544,0.343428799290327,0.111,0.088,1
"fz2",0.0506954402912182,0.280345265894973,0.136,0.111,1
"yrt",0.0522625559272833,-0.298789961117737,0.145,0.167,1
"CG7220",0.0539057163476,0.252869063748435,0.23,0.199,1
"Rab1",0.0552149290333672,0.270583270678042,0.11,0.087,1
"CG31694",0.0569601063254675,-0.326524141608566,0.135,0.158,1
"Syx1A",0.0574533241083618,-0.26072378266895,0.249,0.27,1
"Fkbp12",0.0607423093599685,-0.454157238614754,0.115,0.134,1
"Rox8",0.0616263547568821,-0.296896457750499,0.118,0.139,1
"betaTub56D",0.0617779814956966,-0.386317441852969,0.146,0.165,1
"pho",0.0626961323271913,-0.309642457051754,0.154,0.176,1
"Rala",0.0666799372321464,-0.389735747629377,0.088,0.106,1
"Marf",0.0672138410815228,-0.302232413111766,0.212,0.231,1
"Gdap2",0.067315025882232,-0.31376799894388,0.205,0.225,1
"cass",0.0674846343758712,-0.338395965920778,0.169,0.189,1
"sws",0.0688046909054506,-0.385011546791216,0.119,0.137,1
"Df31",0.0689897740284422,-0.300862713704079,0.121,0.142,1
"sigmar",0.0716482447917039,-0.310596850800339,0.109,0.128,1
"Mitf",0.074116666488009,0.2544272557414,0.233,0.204,1
