"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rad23",1.26464099636911e-10,-0.277006036279371,0.137,0.168,1.58548041714795e-06
"CG12576",1.32548305631075e-10,0.395126580573614,0.201,0.17,1.66175810769679e-06
"Acbp5",1.34008956580359e-10,0.383172629116379,0.151,0.122,1.68007028864796e-06
"Rab14",1.52554691448149e-10,-0.275394582972503,0.078,0.102,1.91257816668544e-06
"Ssdp",1.56727539666443e-10,-0.257251535204564,0.213,0.246,1.9648931647982e-06
"spoon",1.7292303773731e-10,0.342504631107818,0.266,0.235,2.16793612411266e-06
"Timp",1.85136561649144e-10,0.292317222085807,0.124,0.097,2.32105707339532e-06
"Naprt",1.88021793474979e-10,-0.274116878819398,0.184,0.217,2.35722922479581e-06
"mim",2.04410066639806e-10,-0.341806809566642,0.154,0.183,2.56268900546324e-06
"Drat",2.1420886486198e-10,0.414092987270507,0.164,0.136,2.68553653877465e-06
"CG10600",2.77259412770629e-10,-0.298951996867322,0.122,0.151,3.47600125790538e-06
"CG43693",2.78768769519789e-10,0.31695485177939,0.273,0.24,3.49492406346959e-06
"smt3",2.91744022857115e-10,-0.301797795040573,0.148,0.178,3.65759481455965e-06
"mrva",3.77646282531466e-10,-0.268542360101454,0.089,0.115,4.73455144409699e-06
"Hk",4.06444016293963e-10,0.266577335931506,0.338,0.304,5.09558863227741e-06
"Nna1",4.7362507366503e-10,0.296027662866478,0.223,0.191,5.93783754853848e-06
"Pdi",4.87937837662173e-10,-0.350100383237337,0.136,0.164,6.11727667077066e-06
"Sema2a",4.9280851967803e-10,0.349781016934799,0.117,0.091,6.17834041120346e-06
"ZAP3",5.13206910725173e-10,0.350913449420646,0.21,0.18,6.4340750397615e-06
"Dif",5.46000164564059e-10,-0.552155086540592,0.107,0.132,6.8452040631396e-06
"Cip4",6.41311911027709e-10,0.25881198896572,0.368,0.339,8.04012742855439e-06
"CG42748",6.68855211433063e-10,0.383114250326627,0.189,0.16,8.38543778573631e-06
"Paics",6.69534127781058e-10,-0.547088062587413,0.135,0.161,8.39394935999113e-06
"CG33129",7.22450050498506e-10,-0.285294484065262,0.095,0.121,9.05735628309977e-06
"Pka-C3",7.4449594254761e-10,-0.468644286886095,0.15,0.178,9.33374563171939e-06
"Oatp30B",7.84321547507713e-10,0.375965682542136,0.205,0.176,9.8330392411042e-06
"CG14688",8.28385454294258e-10,-0.261207437487895,0.107,0.134,1.03854684404871e-05
"RhoGAP1A",8.65297401732716e-10,0.440362229499223,0.162,0.135,1.08482335255231e-05
"UQCR-6.4",8.75068974581009e-10,-0.298509330413672,0.152,0.182,1.09707397343221e-05
"elav",8.92783894549356e-10,0.446558774932599,0.152,0.125,1.11928316859653e-05
"Ptpmeg",9.23327516738161e-10,-0.379287739333549,0.118,0.144,1.15757570773463e-05
"Tm2",1.05458627101091e-09,-0.373960233503243,0.17,0.198,1.32213480796638e-05
"poe",1.10317265428917e-09,-0.404407437873531,0.148,0.177,1.38304755668233e-05
"Dyrk2",1.12408959983105e-09,0.338287717743855,0.169,0.14,1.40927113130818e-05
"dbr",1.15978271988851e-09,0.265793591365526,0.11,0.085,1.45401959592422e-05
"S6k",1.18718310232319e-09,0.325311228679979,0.223,0.194,1.48837145538259e-05
"Aldh",1.28869028333611e-09,0.472591360371805,0.151,0.124,1.61563100821848e-05
"CG11357",1.42012546387508e-09,0.470849956855719,0.176,0.149,1.78041129406019e-05
"l(2)k09913",1.66982742468046e-09,-0.294938069437846,0.093,0.118,2.09346264232189e-05
"lncRNA:CR33963",1.82861048956083e-09,-0.675672152132357,0.125,0.148,2.29252897076241e-05
"hrg",2.03472714653928e-09,-0.320025526591563,0.095,0.119,2.55093742361629e-05
"cv-2",2.19779102844504e-09,0.661168148864748,0.118,0.095,2.75537061236155e-05
"Pdhb",2.31476839715484e-09,0.384251869353151,0.128,0.103,2.90202513951302e-05
"CG9928",3.89607804717875e-09,-0.489252730497072,0.089,0.111,4.884513047748e-05
"kcc",4.31849376864529e-09,0.318718993165033,0.136,0.11,5.4140956377506e-05
"Mrtf",4.57028906283881e-09,-0.413270494812123,0.264,0.292,5.72977139808102e-05
"Prat2",4.6301911264098e-09,-0.264065172083129,0.084,0.107,5.80487061517996e-05
"Tudor-SN",5.03923762464356e-09,-0.329771147053541,0.125,0.15,6.31769221001563e-05
"CG41099",5.18055001811787e-09,0.314509173307387,0.226,0.197,6.49485555771438e-05
"SCCRO4",5.93076270996433e-09,0.601167838280731,0.105,0.083,7.43539720948228e-05
"CG17734",6.05294119577407e-09,-0.32258299779057,0.149,0.177,7.58857237714195e-05
"faf",6.59257871748721e-09,0.2937950095058,0.202,0.172,8.26511593811371e-05
"Fer2LCH",6.75927346968976e-09,-0.267577313420724,0.322,0.349,8.47410114895006e-05
"CG17646",7.3238730881641e-09,-0.519761852070561,0.129,0.153,9.18193969063133e-05
"Lis-1",8.20053579094213e-09,-0.255278120925963,0.198,0.228,0.000102810117211041
"Tsp96F",8.3012877843468e-09,-0.275389459856497,0.102,0.127,0.000104073244952356
"alpha-Spec",8.40650500583464e-09,0.345134228119877,0.234,0.206,0.000105392353258149
"Fit1",9.38346129099878e-09,-0.395231615186455,0.109,0.133,0.000117640454205252
"CG10803",1.16460460258744e-08,0.437058019780629,0.131,0.108,0.000146006479026387
"Arpc2",1.167382250145e-08,-0.32686057676793,0.097,0.12,0.000146354712700678
"Tps1",1.34215048853845e-08,-0.260002236616871,0.162,0.19,0.000168265406748065
"lig",1.37095024606069e-08,0.308234163232324,0.161,0.135,0.000171876032348629
"Smg5",1.52670011982196e-08,-0.341173662375703,0.109,0.133,0.000191402394022079
"RIC-3",1.55127930230991e-08,-0.341332650132013,0.094,0.117,0.000194483886130594
"CG43066",1.60678322390034e-08,-0.287722418937603,0.133,0.159,0.000201442412780386
"CG13366",1.73404188162008e-08,0.380763121880195,0.182,0.154,0.000217396830698709
"Alh",1.82017250959969e-08,0.305947937899067,0.199,0.172,0.000228195027528513
"Tak1",1.90226027454679e-08,-0.380024513041883,0.134,0.159,0.000238486370619931
"schlank",2.10775485595747e-08,-0.277247915187437,0.126,0.151,0.000264249226291389
"CG2082",2.18134703924288e-08,0.553553452838444,0.142,0.119,0.00027347547830988
"Stat92E",2.3852304485932e-08,0.439270974984254,0.335,0.318,0.000299036341340129
"Cdep",2.58547614633635e-08,0.420542058400919,0.196,0.17,0.000324141144466188
"Obp99c",2.75235883233164e-08,-0.299629119465488,0.15,0.177,0.000345063226809418
"spir",2.79278201232616e-08,0.355941999278226,0.189,0.164,0.000350131080885331
"Mpcp2",2.8164252606683e-08,-0.268887631902795,0.176,0.204,0.000353095234929984
"elB",3.09958992267654e-08,0.314780362062096,0.202,0.176,0.000388595588605958
"galectin",3.10830331063877e-08,0.352492173456536,0.151,0.127,0.000389687986054783
"fbl",3.23543873723844e-08,-0.49965143942245,0.106,0.128,0.000405626954487584
"Src42A",3.25071735804405e-08,0.283333342485515,0.244,0.215,0.000407542435177982
"siz",3.51749770327497e-08,0.269878065366865,0.308,0.283,0.000440988687059584
"mura",3.67438886338107e-08,0.262442298567292,0.375,0.35,0.000460658131802085
"Vinc",4.02007408650119e-08,0.428925425114421,0.135,0.112,0.000503996688224654
"CG9705",4.19954076891199e-08,0.338404273742507,0.146,0.122,0.000526496426198496
"hiw",4.47300753865716e-08,0.464009400164499,0.103,0.083,0.000560780955121448
"CG31759",4.54770927537654e-08,0.497022955681138,0.119,0.097,0.000570146311853957
"klar",4.94562551950026e-08,0.265044878323526,0.56,0.554,0.000620033071379747
"mbc",5.19649425221349e-08,-0.362698065494651,0.142,0.166,0.000651484484400005
